ep,dest,time_sec,goal_x,goal_y,final_x,final_y,finaldist_m,success
1,A,14.0,-0.01,1.81,-0.42,1.76,0.41,0
2,B,15.0,1.09,0.52,0.865,0.456,0.23,1
3,C,12.0,0.52,-0.57,0.109,-0.601,0.41,0
4,D,24.6,1.34,-1.61,1.258,-1.635,0.086,1
5,A,15.0,0.00,1.83,-0.352,1.755,0.360,0
6,B,15.4,1.09,0.53,0.673,0.464,0.423,0
7,C,14.1,0.56,-0.54,0.162,-0.599,0.403,0
8,D,25.5,1.36,-1.53,1.323,-1.555,0.044,1
9,A,15.2,0.00,1.80,-0.324,1.758,0.326,0
10,B,15.2,1.10,0.53,0.705,0.443,0.405,0
11,C,13.1,0.58,-0.56,0.137,-0.569,0.443,0
12,D,25.5,1.30,-1.62,1.273,-1.630,0.028,1
