run,goal_id,result,time_sec,notes,start_ns,end_ns,recovery,recovery_types,recovery_hits,bt_start_line,bt_end_line,source,orig_run
1,b0a16792a4f4214780e01f98c04aaf9a,S,13.031,W3D4,1769338485285045531,1769338498315776744,N,,0,,,w3d4_action_v1,1
2,7f52612dd615799086bf012915bb9df6,S,12.961,W3D4,1769338602154046035,1769338615115030327,N,,0,,,w3d4_action_v1,2
3,c60a716c54b5d760391a89237616c221,S,14.007,W3D4,1769338675281925012,1769338689289375307,N,,0,,,w3d4_action_v1,3
4,6c0e147a877b618dc197014f7140d68f,S,13.366,W3D4,1769338745005582940,1769338758372000662,N,,0,,,w3d4_action_v1,4
5,03089d311923c6b0ed2eba461c2fe5cc,S,13.195,W3D4,1769338828508059932,1769338841703401624,N,,0,,,w3d4_action_v1,5
6,3e145d680119e059c2a1e1e1731348ad,S,12.861,W3D4,1769338979159291843,1769338992020789178,N,,0,,,w3d4_action_v1,6
7,7979f4e338d042f00467a6a16ff9711b,S,12.561,W3D4,1769339122049459470,1769339134610490385,N,,0,,,w3d4_action_v1,7
8,d7591e1bfdb36b5223fbb2790bfdad32,S,12.761,W3D4,1769339182411887103,1769339195172496457,N,,0,,,w3d4_action_v1,8
9,a1b40de24786f8ba8131960e36a63343,S,13.587,W3D4,1769339268663155732,1769339282250440080,N,,0,,,w3d4_action_v1,9
10,6d1594a20fb2813b44fd69f073cf419e,S,12.471,W3D4,1769339414645439727,1769339427116679989,N,,0,,,w3d4_action_v1,10
11,b0f913bd523fc60be5173ed7980ba9de,S,13.352,W4D2,,,N,,0,0,908,w4d2_action_v2,1
12,66ede596d1ca139764d412a5bbea4e58,S,13.961,W4D2,,,N,,0,2320,3291,w4d2_action_v2,2
13,991eebd7fd0cc381e596f908f84bf3a2,S,12.66,W4D2,,,N,,0,5053,5961,w4d2_action_v2,3
14,97e68997bb19204cf55e3551c632ce78,S,12.661,W4D2,,,N,,0,7975,8883,w4d2_action_v2,4
15,6f0258e8f76de26697b5e1a057d11a02,S,12.561,W4D2,,,N,,0,10295,11203,w4d2_action_v2,5
16,ab855dfb006da917675ea90a4a8474cb,S,12.661,W4D2,,,N,,0,13532,14440,w4d2_action_v2,6
17,26aff29af27f0a40dd78a69b67e40662,S,12.661,W4D2,,,N,,0,26369,27277,w4d2_action_v2,7
18,62f9f3e8673afc4e78e59c0ce1b175a3,S,13.784,W4D2,,,N,,0,28689,29660,w4d2_action_v2,8
19,2b38541150fc4b4ff881661fd488cf38,S,13.993,W4D2,,,N,,0,31135,32106,w4d2_action_v2,9
20,9c2bf13e05af710a1d1458365b7fedd2,S,13.691,W4D2,,,N,,0,33455,34426,w4d2_action_v2,10
